symbol,date,price,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,Jan-99,0.700787,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,Jan-00,0.732026,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,1-Jan,0.678322,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,2-Jan,0.767606,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,3-Jan,0.74,,,,,,,,,,,,,,,,,,,,,,,,,
berk-aa,4-Jan,0.761468,,,,,,,Berkeley AA,,,,Berkeley hispanic,,,,Berkeley american indian,,,,Berkeley asian,,,,Berkeley white,,
berk-aa,5-Jan,0.711111,,,,,,,1999,6 yrs,0.700787,,1999,6 yrs,0.779141,,1999,6 yrs,0.727273,,1999,6 yrs,0.9001919,,1999,6 yrs,0.8724169
berk-aa,6-Jan,0.769737,,,,,,,2000,6 yrs,0.732026,,2000,6 yrs,0.826087,,2000,6 yrs,0.75,,2000,6 yrs,0.9143713,,2000,6 yrs,0.8790738
berk-aa,7-Jan,0.786765,,,,,,,2001,6 yrs,0.678322,,2001,6 yrs,0.787179,,2001,6 yrs,0.695652,,2001,6 yrs,0.9171107,,2001,6 yrs,0.8915344
berk-aa,8-Jan,0.746575,,,,,,,2002,6 yrs,0.767606,,2002,6 yrs,0.82134,,2002,6 yrs,0.785714,,2002,6 yrs,0.9334554,,2002,6 yrs,0.9077213
berk-aa,9-Jan,0.75969,,,,,,,2003,6 yrs,0.74,,2003,6 yrs,0.850254,,2003,6 yrs,0.6875,,2003,6 yrs,0.9451029,,2003,6 yrs,0.8992395
berk-aa,10-Jan,0.75,,,,,,,2004,6 yrs,0.761468,,2004,6 yrs,0.86217,,2004,6 yrs,0.875,,2004,6 yrs,0.9453755,,2004,6 yrs,0.9044369
berk-aa,11-Jan,0.823077,,,,,,,2005,6 yrs,0.711111,,2005,6 yrs,0.821596,,2005,6 yrs,0.928571,,2005,6 yrs,0.9366824,,2005,6 yrs,0.923825
berk-aa,12-Jan,0.739726,,,,,,,2006,6 yrs,0.769737,,2006,6 yrs,0.816068,,2006,6 yrs,0.705882,,2006,6 yrs,0.9396642,,2006,6 yrs,0.9229495
berk-aa,13-Jan,0.780303,,,,,,,2007,6 yrs,0.786765,,2007,6 yrs,0.850716,,2007,6 yrs,0.809524,,2007,6 yrs,0.9468473,,2007,6 yrs,0.9035573
,,,,,,,,,2008,6 yrs,0.746575,,2008,6 yrs,0.847345,,2008,6 yrs,0.789474,,2008,6 yrs,0.9425544,,2008,6 yrs,0.9159593
,,,,,,,,,2009,6 yrs,0.75969,,2009,6 yrs,0.85138,,2009,6 yrs,0.789474,,2009,6 yrs,0.9468202,,2009,6 yrs,0.9118976
,,,,,,,,,2010,6 yrs,0.75,,2010,6 yrs,0.888361,,2010,6 yrs,0.857143,,2010,6 yrs,0.9464501,,2010,6 yrs,0.9116883
,,,,,,,,,2011,6 yrs,0.823077,,2011,6 yrs,0.88,,2011,6 yrs,0.970588,,2011,6 yrs,0.9342872,,2011,6 yrs,0.902237
,,,,,,,,,2012,6 yrs,0.739726,,2012,6 yrs,0.844622,,2012,6 yrs,0.896552,,2012,6 yrs,0.952804,,2012,6 yrs,0.9112426
,,,,,,,,,2013,6 yrs,0.780303,,2013,6 yrs,0.846729,,2013,6 yrs,0.944444,,2013,6 yrs,0.9666487,,2013,6 yrs,0.9185249
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ALL AA,,,,All hispanic,,,,All american indian,,,,All asian,,,,All white,,
,,,,,,,,,1999,6 yrs,0.7165563,,1999,6 yrs,0.7481901,,1999,6 yrs,0.723881,,1999,6 yrs,0.8398038,,1999,6 yrs,0.8271617
,,,,,,,,,2000,6 yrs,0.6781214,,2000,6 yrs,0.7512762,,2000,6 yrs,0.737805,,2000,6 yrs,0.8326581,,2000,6 yrs,0.8196366
,,,,,,,,,2001,6 yrs,0.7026107,,2001,6 yrs,0.7345804,,2001,6 yrs,0.707865,,2001,6 yrs,0.8428584,,2001,6 yrs,0.8224333
,,,,,,,,,2002,6 yrs,0.7421384,,2002,6 yrs,0.7383721,,2002,6 yrs,0.744186,,2002,6 yrs,0.8512533,,2002,6 yrs,0.833128
,,,,,,,,,2003,6 yrs,0.7285429,,2003,6 yrs,0.7220745,,2003,6 yrs,0.743056,,2003,6 yrs,0.8594438,,2003,6 yrs,0.8276628
,,,,,,,,,2004,6 yrs,0.7577566,,2004,6 yrs,0.7477075,,2004,6 yrs,0.706294,,2004,6 yrs,0.8689727,,2004,6 yrs,0.8410524
,,,,,,,,,2005,6 yrs,0.7183099,,2005,6 yrs,0.7493012,,2005,6 yrs,0.796053,,2005,6 yrs,0.8666297,,2005,6 yrs,0.8515654
,,,,,,,,,2006,6 yrs,0.7162534,,2006,6 yrs,0.7420527,,2006,6 yrs,0.794444,,2006,6 yrs,0.8754483,,2006,6 yrs,0.8552999
,,,,,,,,,2007,6 yrs,0.7466562,,2007,6 yrs,0.7482982,,2007,6 yrs,0.785311,,2007,6 yrs,0.8709385,,2007,6 yrs,0.8477226
,,,,,,,,,2008,6 yrs,0.7544996,,2008,6 yrs,0.7650684,,2008,6 yrs,0.742515,,2008,6 yrs,0.8796572,,2008,6 yrs,0.8592357
,,,,,,,,,2009,6 yrs,0.7396825,,2009,6 yrs,0.7805467,,2009,6 yrs,0.82243,,2009,6 yrs,0.8915742,,2009,6 yrs,0.8625258
,,,,,,,,,2010,6 yrs,0.7553614,,2010,6 yrs,0.7761027,,2010,6 yrs,0.816733,,2010,6 yrs,0.8855576,,2010,6 yrs,0.8635871
,,,,,,,,,2011,6 yrs,0.7513109,,2011,6 yrs,0.7692676,,2011,6 yrs,0.788793,,2011,6 yrs,0.8920995,,2011,6 yrs,0.8668099
,,,,,,,,,2012,6 yrs,0.7386139,,2012,6 yrs,0.7716472,,2012,6 yrs,0.75,,2012,6 yrs,0.8942438,,2012,6 yrs,0.8538979
,,,,,,,,,2013,6 yrs,0.7667357,,2013,6 yrs,0.7890625,,2013,6 yrs,0.767677,,2013,6 yrs,0.8924761,,2013,6 yrs,0.8728657
